species,mutation_class,response,SE,df,asymp.LCL,asymp.UCL
saureus,T->A,590.6698141110935,108.31082834095287,Inf,412.34466110310234,846.1145789269655
sepidermidis,T->A,731.1315992457533,133.8751180470808,Inf,510.6635043899152,1046.782099798337
spneumoniae,T->A,131.14940008185687,25.35080279271874,Inf,89.79072784411998,191.5583663793335
styphimurium,T->C,165.08172076475464,30.81130380437124,Inf,114.50604206881528,237.99595233825883
bpertussis,T->C,175.35136547165422,33.56822376704854,Inf,120.49254710185095,255.18674899272102
cjejuni,T->C,1035.8814479505147,190.90794937653342,Inf,721.8346417468892,1486.559818757381
ecoli,T->C,1352.6706254201595,246.5821988771188,Inf,946.2896586923472,1933.570555344549
hinfluenzae,T->C,627.5738969746457,115.93205265597292,Inf,436.9401639413186,901.3797052010934
kpneumoniae,T->C,2082.6768053065875,379.1556253113539,Inf,1457.6688619557092,2975.6708046452386
lmonocytogenesA,T->C,930.3171647986925,170.22734392131002,Inf,649.9502103961039,1331.625120317471
mtuberculosis,T->C,2265.2438495773567,413.1007389452272,Inf,1584.4763516409453,3238.501914360437
nmeningitidis,T->C,341.01352246505644,63.645517714716405,Inf,236.54101450935872,491.6281548265049
paeruginosa,T->C,596.4425008207005,109.24571251586815,Inf,416.54377325710914,854.0366694322679
sagalactiae,T->C,1033.834405809415,189.40812892766957,Inf,721.9429842336082,1480.4681283383134
saureus,T->C,1761.339090636305,320.93487413904796,Inf,1232.3807978041555,2517.335062126254
sepidermidis,T->C,964.3883369613699,176.2411747789164,Inf,674.0553625101222,1379.7751879069879
spneumoniae,T->C,534.598767131623,98.6990715092816,Inf,372.2860987120461,767.6779842368146
styphimurium,T->G,97.07308578105395,18.44476461804085,Inf,66.89025327674067,140.87529231007596
bpertussis,T->G,102.77251713590994,20.307943047135087,Inf,69.7716177580019,151.38233307252725
cjejuni,T->G,82.22877580237054,17.051331509560708,Inf,54.76647843650212,123.46186504936746
ecoli,T->G,528.4782609694897,96.88584420427671,Inf,368.95760774576206,756.9684604790322
hinfluenzae,T->G,153.74057488590708,29.76922133002328,Inf,105.18842296964513,224.7030965857339
kpneumoniae,T->G,785.3911199838557,143.5373590839618,Inf,548.9353196286072,1123.701079695199
lmonocytogenesA,T->G,260.35674171948864,48.517334855383915,Inf,180.6957304254464,375.1368823114297
mtuberculosis,T->G,1129.9546844353592,206.89663988182278,Inf,789.2317807841246,1617.7726492575816
nmeningitidis,T->G,105.24084738479604,20.76072532566742,Inf,71.49388757094243,154.91724306192927
paeruginosa,T->G,441.3836185593146,81.08034921637315,Inf,307.931416704373,632.6717189741939
sagalactiae,T->G,271.1781934823156,50.84762426694818,Inf,187.77989721132477,391.6160020983185
saureus,T->G,331.0357900111265,61.14934257524922,Inf,230.48355458534047,475.45558929548287
sepidermidis,T->G,298.24132558050337,55.243267747929785,Inf,207.44342871505333,428.78142168675606
spneumoniae,T->G,199.63197177469007,37.81988827679313,Inf,137.71194800842628,289.3933658698383
