contrast,mutation_class,ratio,SE,df,null,z.ratio,p_value_bonferroni,significant,sig_label
cjejuni / saureus,C->T,0.6106718534036317,0.15763314310873103,Inf,1,-1.9106427860051711,1,FALSE,ns
cjejuni / sepidermidis,C->T,0.7153896718553504,0.18472039953980826,Inf,1,-1.2971169037405434,1,FALSE,ns
cjejuni / spneumoniae,C->T,1.471790430918931,0.38072930935908794,Inf,1,1.494019561208207,1,FALSE,ns
ecoli / hinfluenzae,C->T,2.8810627358052425,0.7427923039345575,Inf,1,4.104273986787624,0.0036908377109059164,TRUE,**
ecoli / kpneumoniae,C->T,0.7223831275846521,0.18528715850156752,Inf,1,-1.2678629756458182,1,FALSE,ns
ecoli / lmonocytogenesA,C->T,1.7922440387722138,0.4605573037878116,Inf,1,2.2705489852582477,1,FALSE,ns
ecoli / mtuberculosis,C->T,1.4237625949475181,0.36534101060646457,Inf,1,1.376849842510943,1,FALSE,ns
ecoli / nmeningitidis,C->T,2.953849266460595,0.7595861674880787,Inf,1,4.211952932445751,0.00230386797299879,TRUE,**
ecoli / paeruginosa,C->T,4.322087466783181,1.109664176276848,Inf,1,5.701189550035033,1.0826656839215968e-6,TRUE,***
ecoli / sagalactiae,C->T,1.1691094042564014,0.300386867781764,Inf,1,0.6080968315486859,1,FALSE,ns
ecoli / saureus,C->T,0.9234485813568744,0.2370536729943937,Inf,1,-0.31024025415783274,1,FALSE,ns
ecoli / sepidermidis,C->T,1.081801255306152,0.27778930916217326,Inf,1,0.3062007956027945,1,FALSE,ns
ecoli / spneumoniae,C->T,2.2256188457213524,0.5725669753576751,Inf,1,3.1098073619380675,0.17036054963985822,FALSE,ns
hinfluenzae / kpneumoniae,C->T,0.2507349522823736,0.06462901030676335,Inf,1,-5.366884272300459,7.2898662330537545e-6,TRUE,***
hinfluenzae / lmonocytogenesA,C->T,0.6220774079295747,0.16064149182423115,Inf,1,-1.8382199032404032,1,FALSE,ns
hinfluenzae / mtuberculosis,C->T,0.49417965712905026,0.12743207522148678,Inf,1,-2.733421469319083,0.5703886223137291,FALSE,ns
hinfluenzae / nmeningitidis,C->T,1.0252637784491039,0.2649404065440894,Inf,1,0.09655097161304431,1,FALSE,ns
hinfluenzae / paeruginosa,C->T,1.5001712434336072,0.38705218116766277,Inf,1,1.5719801572284924,1,FALSE,ns
hinfluenzae / sagalactiae,C->T,0.4057910262511661,0.10477450685711891,Inf,1,-3.4931189086504895,0.043444662340062626,TRUE,*
hinfluenzae / saureus,C->T,0.32052359356165677,0.08268473356317939,Inf,1,-4.410627375466996,9.37951142276383e-4,TRUE,***
hinfluenzae / sepidermidis,C->T,0.37548687915113865,0.09689309753250398,Inf,1,-3.7959496545900278,0.01338422056196924,TRUE,*
hinfluenzae / spneumoniae,C->T,0.772499264962831,0.19970801506372382,Inf,1,-0.9984615363604886,1,FALSE,ns
kpneumoniae / lmonocytogenesA,C->T,2.4810159184707574,0.6374018738860446,Inf,1,3.536889621404413,0.03684306387486814,TRUE,*
kpneumoniae / mtuberculosis,C->T,1.9709244867166076,0.5056241200227453,Inf,1,2.6448058209056047,0.743814050218948,FALSE,ns
kpneumoniae / nmeningitidis,C->T,4.089034133918708,1.0512520369806597,Inf,1,5.477870679068152,3.917318390377472e-6,TRUE,***
kpneumoniae / paeruginosa,C->T,5.983095814037681,1.535751819221154,Inf,1,6.969477812232931,2.894887795820217e-10,TRUE,***
kpneumoniae / sagalactiae,C->T,1.618406299390485,0.415729242377242,Inf,1,1.8742213033510426,1,FALSE,ns
kpneumoniae / saureus,C->T,1.2783363094934144,0.3280772591655409,Inf,1,0.9568099689155807,1,FALSE,ns
kpneumoniae / sepidermidis,C->T,1.497545020082687,0.3844545734168469,Inf,1,1.5730058254867358,1,FALSE,ns
kpneumoniae / spneumoniae,C->T,3.080939685237242,0.7924213947900315,Inf,1,4.374919821463534,0.0011054417910754636,TRUE,**
lmonocytogenesA / mtuberculosis,C->T,0.7944021930868711,0.20417695462167965,Inf,1,-0.8955168485964062,1,FALSE,ns
lmonocytogenesA / nmeningitidis,C->T,1.6481289392286915,0.42450449592706924,Inf,1,1.9398433996792395,1,FALSE,ns
lmonocytogenesA / paeruginosa,C->T,2.4115507560812137,0.620153317977059,Inf,1,3.423049980347288,0.05634964833266969,FALSE,ns
lmonocytogenesA / sagalactiae,C->T,0.6523159675605928,0.16787551618609953,Inf,1,-1.6600782082715932,1,FALSE,ns
lmonocytogenesA / saureus,C->T,0.515247121139534,0.13248125243526598,Inf,1,-2.578967324429161,0.9017750539036553,FALSE,ns
lmonocytogenesA / sepidermidis,C->T,0.6036015363439264,0.1552468589519642,Inf,1,-1.9628275210535098,1,FALSE,ns
lmonocytogenesA / spneumoniae,C->T,1.2418056902820132,0.3199859360824614,Inf,1,0.8404542490658005,1,FALSE,ns
mtuberculosis / nmeningitidis,C->T,2.0746782342385375,0.5336040510556529,Inf,1,2.8375211424598823,0.41373455383107804,FALSE,ns
mtuberculosis / paeruginosa,C->T,3.0356798823911366,0.7795319044815349,Inf,1,4.324295677633969,0.0013924815497221245,TRUE,**
mtuberculosis / sagalactiae,C->T,0.8211406932624863,0.21101977034030406,Inf,1,-0.7668222500828518,1,FALSE,ns
mtuberculosis / saureus,C->T,0.6485973045182536,0.16652868218884503,Inf,1,-1.6862309567786822,1,FALSE,ns
mtuberculosis / sepidermidis,C->T,0.7598185674670213,0.19514518208741452,Inf,1,-1.0694787316994738,1,FALSE,ns
mtuberculosis / spneumoniae,C->T,1.5631951939314657,0.4022242852656831,Inf,1,1.736168670282752,1,FALSE,ns
